filename,time,url,species,stru
N15/20201219_181935.WAV,2020-12-19T23:19:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31087143,cattle,rec_am
N15/20201215_200320.WAV,2020-12-16T01:03:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31080401,cattle,rec_am
N15/20201215_201615.WAV,2020-12-16T01:16:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31080471,cattle,rec_am
N15/20210102_180025.WAV,2021-01-02T23:00:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117803,cattle,rec_am
N15/20210102_180205.WAV,2021-01-02T23:02:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117810,cattle,rec_am
N15/20210102_180230.WAV,2021-01-02T23:02:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117812,cattle,rec_am
N15/20210102_180255.WAV,2021-01-02T23:02:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117814,cattle,rec_am
N15/20210102_180705.WAV,2021-01-02T23:07:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117833,cattle,rec_am
N15/20210102_180730.WAV,2021-01-02T23:07:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117834,cattle,rec_am
N15/20210102_181025.WAV,2021-01-02T23:10:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117848,cattle,rec_am
N15/20210102_183050.WAV,2021-01-02T23:30:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31117960,cattle,rec_am
N15/20210103_023705.WAV,2021-01-03T07:37:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31119012,cattle,rec_am
N15/20210103_023820.WAV,2021-01-03T07:38:00Z,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/31119021,cattle,rec_am
