filename,day,month,year,hour,date,url,stru
A01/20201219_045345.WAV,19,12,20,04:53:45,12/19/20,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/42005847,rec_am
A01/AM95/20210123_181230.WAV,23,1,21,18:12:30,1/23/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47178055,rec_am
A01/AM95/20210123_180730.WAV,23,1,21,18:07:30,1/23/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47178014,rec_am
A05/AM96/20210228_180550.WAV,28,2,21,18:05:50,2/28/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/49110696,rec_am
A05/AM96/20210228_181345.WAV,28,2,21,18:13:45,2/28/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/49110804,rec_am
A05/AM96/20210228_181500.WAV,28,2,21,18:15:00,2/28/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/49110819,rec_am
A08/AM03/20210225_024525.WAV,25,2,21,02:45:25,2/25/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47423762,rec_am
A08/AM03/20210225_024550.WAV,25,2,21,02:45:50,2/25/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47423765,rec_am
A08/AM04/20210219_205730.WAV,19,2,21,20:57:30,2/19/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47375717,rec_am
A08/AM04/20210219_205820.WAV,19,2,21,20:58:20,2/19/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/47375721,rec_am
N15/AM98/20210107_194320.WAV,7,1,21,19:43:20,1/7/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344224,rec_am
N15/AM98/20210109_180000.WAV,9,1,21,18:00:00,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344225,rec_am
N15/AM98/20210109_180025.WAV,9,1,21,18:00:25,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344226,rec_am
N15/AM98/20210109_180115.WAV,9,1,21,18:01:15,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344230,rec_am
N15/AM98/20210109_182435.WAV,9,1,21,18:24:35,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344329,rec_am
N15/AM98/20210109_182525.WAV,9,1,21,18:25:25,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344333,rec_am
N15/AM98/20210109_182550.WAV,9,1,21,18:25:50,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344334,rec_am
N15/AM98/20210109_182730.WAV,9,1,21,18:27:30,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344343,rec_am
N15/AM98/20210109_183705.WAV,9,1,21,18:37:05,1/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37344383,rec_am
N15/AM98/20210209_184025.WAV,9,2,21,18:40:25,2/9/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37377279,rec_am
N15/AM98/20210216_184050.WAV,16,2,21,18:40:50,2/16/21,https://arbimon.rfcx.org/api/project/1485-juliana-project/recordings/download/37384113,rec_am
