20201229_044255.flac,8150,8300,,
20201229_044320.flac,8450,8600,,
20201229_044345.flac,750,950,8000,8100
20210122_045320.flac,7050,7950,,
20220310_134200.WAV,4200,4600,6800,7200
20220310_134215.WAV,3200,3600,7600,8000
20220310_134230.WAV,2600,2900,,
20220310_134245.WAV,7300,7700,,
20220310_134300.WAV,600,900,4500,4800
20220310_134315.WAV,5800,6200,,
20220310_134330.WAV,1200,1600,6200,6500
20220310_134345.WAV,2800,3050,,
20220310_134445.WAV,5200,5500,,
20220310_134500.WAV,6200,6600,,
